id,group,original_id
111,simulationGroup2,11
112,simulationGroup2,12
113,simulationGroup2,13
114,simulationGroup2,14
115,simulationGroup2,15
116,simulationGroup2,16
117,simulationGroup2,17
118,simulationGroup2,18
119,simulationGroup2,19
120,simulationGroup2,20
121,simulationGroup2,21
122,simulationGroup2,22
123,simulationGroup2,23
124,simulationGroup2,24
125,simulationGroup2,25
126,simulationGroup2,26
127,simulationGroup2,27
128,simulationGroup2,28
129,simulationGroup2,29
130,simulationGroup2,30
131,simulationGroup2,31
132,simulationGroup2,32
133,simulationGroup2,33
134,simulationGroup2,34
135,simulationGroup2,35
136,simulationGroup2,36
137,simulationGroup2,37
138,simulationGroup2,38
139,simulationGroup2,39
140,simulationGroup2,40
141,simulationGroup2,41
142,simulationGroup2,42
143,simulationGroup2,43
144,simulationGroup2,44
145,simulationGroup2,45
146,simulationGroup2,46
147,simulationGroup2,47
148,simulationGroup2,48
149,simulationGroup2,49
150,simulationGroup2,50
151,simulationGroup2,51
152,simulationGroup2,52
153,simulationGroup2,53
154,simulationGroup2,54
155,simulationGroup2,55
156,simulationGroup2,56
157,simulationGroup2,57
158,simulationGroup2,58
159,simulationGroup2,59
160,simulationGroup2,60
161,simulationGroup2,61
162,simulationGroup2,62
163,simulationGroup2,63
164,simulationGroup2,64
165,simulationGroup2,65
166,simulationGroup2,66
167,simulationGroup2,67
168,simulationGroup2,68
169,simulationGroup2,69
170,simulationGroup2,70
171,simulationGroup2,71
172,simulationGroup2,72
173,simulationGroup2,73
174,simulationGroup2,74
175,simulationGroup2,75
176,simulationGroup2,76
177,simulationGroup2,77
178,simulationGroup2,78
179,simulationGroup2,79
180,simulationGroup2,80
181,simulationGroup2,81
182,simulationGroup2,82
183,simulationGroup2,83
184,simulationGroup2,84
185,simulationGroup2,85
186,simulationGroup2,86
187,simulationGroup2,87
188,simulationGroup2,88
189,simulationGroup2,89
190,simulationGroup2,90
191,simulationGroup2,91
192,simulationGroup2,92
193,simulationGroup2,93
194,simulationGroup2,94
195,simulationGroup2,95
196,simulationGroup2,96
197,simulationGroup2,97
198,simulationGroup2,98
199,simulationGroup2,99
200,simulationGroup2,100
201,simulationGroup3,1
202,simulationGroup3,2
203,simulationGroup3,3
204,simulationGroup3,4
205,simulationGroup3,5
206,simulationGroup3,6
