rep,phi_S_pop,phi_L_pop,delta_AB_pop,omega_S,omega_L,omega_AB,beta_AGE,beta_G1,beta_G2,delta_S,delta_L,sigma_AB,group
74,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
75,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
76,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
77,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
78,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
79,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
80,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
81,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
82,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
83,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
84,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
85,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
86,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
87,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
88,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
89,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
90,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
91,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
92,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
93,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
94,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
95,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
96,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
97,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
98,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
99,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
100,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
